Title,year,Genre,Lead Cast,Director,Positive out of 10 Representation,Focus Area,Box Office Revenue (in M),community,Label
forgotten voyage,24-04-1999,drama,isabella davis noah hernandez,laura scott,7.15,disability,171.77,Asian,forgotten voyage _Asian
golden horizon,12-06-2016,documentary,isabella johnson olivia garcia,steven miller,8.1,disability,471.3,american,golden horizon _american
echoes  eternity,17-12-2003,drama,olivia johnson sophia davis,laura scott,8.52,cultural,334.3,Asian,echoes  eternity _Asian
shadows rising,20-07-2001,thriller,olivia johnson noah garcia,laura scott,6.18,age,73.8,Asian,shadows rising _Asian
whispers   wind,12-02-2010,comedy,isabella garcia isabella johnson,daniel ford,5.36,cultural,408.39,european,whispers   wind _european
golden horizon,08-09-2023,documentary,mia brown olivia garcia,daniel ford,7.76,age,473.02,european,golden horizon _european
secrets   valley,18-06-1995,drama,sophia jones isabella brown,catherine hayes,8.48,gender,67.18,Asian,secrets   valley _Asian
lost   stars,14-10-1985,action,mia williams william martinez,laura scott,7.1,disability,416.43,Asian,lost   stars _Asian
final hour,16-11-2023,documentary,james jones liam johnson,michael carter,5.96,lgbtq,296.87,american,final hour _american
golden horizon,18-07-1995,fantasy,emma johnson isabella miller,catherine hayes,6.46,lgbtq,40.58,Asian,golden horizon _Asian
breaking chains,08-12-2022,scifi,john johnson emma smith,steven miller,5.91,lgbtq,197.47,american,breaking chains _american
forgotten voyage,01-09-1987,comedy,james martinez william miller,michael carter,8.03,race,238.58,american,forgotten voyage _american
breaking chains,25-06-2003,drama,olivia hernandez emma garcia,daniel ford,8.39,gender,93.26,european,breaking chains _european
echoes  eternity,09-08-2011,drama,emma johnson james davis,steven miller,5.34,gender,173.27,american,echoes  eternity _american
golden horizon,18-01-2009,fantasy,isabella davis james davis,daniel ford,7.45,age,86.59,european,golden horizon _european
secrets   valley,15-09-2021,action,james brown william hernandez,michael carter,6.01,race,37.89,american,secrets   valley _american
lost   stars,14-01-2016,drama,liam hernandez liam davis,laura scott,9.48,gender,269.98,Asian,lost   stars _Asian
whispers   wind,08-01-2017,fantasy,olivia smith john smith,catherine hayes,9.77,disability,124.04,Asian,whispers   wind _Asian
whispers   wind,28-10-2015,scifi,john williams noah williams,daniel ford,9.12,cultural,478.77,european,whispers   wind _european
whispers   wind,28-06-1997,thriller,william davis william miller,emily adams,5.54,disability,443.34,european,whispers   wind _european
golden horizon,02-07-1990,scifi,john miller noah jones,steven miller,5.72,cultural,199.83,american,golden horizon _american
secrets   valley,09-09-2000,drama,emma davis sophia jones,michael carter,7,age,482.12,american,secrets   valley _american
shadows rising,01-04-1990,drama,william hernandez isabella hernandez,emily adams,7.97,disability,325.35,european,shadows rising _european
golden horizon,11-12-1994,fantasy,john smith noah brown,michael carter,9.19,race,258.09,american,golden horizon _american
echoes  eternity,17-10-2000,scifi,james smith james jones,michael carter,5.92,age,206.87,american,echoes  eternity _american
lost   stars,05-02-2002,action,william smith emma miller,laura scott,5.5,age,71.62,Asian,lost   stars _Asian
whispers   wind,16-09-1988,fantasy,john davis emma johnson,laura scott,9.8,cultural,481.15,Asian,whispers   wind _Asian
forgotten voyage,11-02-2000,documentary,sophia garcia james brown,emily adams,9.27,gender,262.79,european,forgotten voyage _european
whispers   wind,27-02-2013,comedy,james johnson james williams,michael carter,8.62,lgbtq,160.7,american,whispers   wind _american
shadows rising,18-11-1996,action,william davis isabella miller,catherine hayes,8.21,age,362.33,Asian,shadows rising _Asian
golden horizon,28-02-2007,action,sophia brown olivia williams,laura scott,5.08,lgbtq,494.69,Asian,golden horizon _Asian
lost   stars,08-10-1992,documentary,noah garcia liam jones,emily adams,6.71,lgbtq,70.68,european,lost   stars _european
breaking chains,16-03-2004,documentary,sophia hernandez james williams,laura scott,7.72,gender,69.79,Asian,breaking chains _Asian
legends   fallen,03-06-1983,drama,mia williams emma hernandez,michael carter,7.52,cultural,124.19,american,legends   fallen _american
lost   stars,17-05-2019,drama,olivia smith sophia williams,daniel ford,8.31,race,296.23,european,lost   stars _european
echoes  eternity,10-09-1989,comedy,william garcia noah williams,emily adams,7.05,gender,260.78,european,echoes  eternity _european
lost   stars,04-09-2006,comedy,liam smith sophia miller,steven miller,7.54,age,341.75,american,lost   stars _american
echoes  eternity,11-03-1991,action,john smith mia brown,daniel ford,8.97,lgbtq,411.61,european,echoes  eternity _european
shadows rising,09-11-1996,drama,isabella brown sophia brown,emily adams,5.17,lgbtq,365.6,european,shadows rising _european
lost   stars,18-11-2022,documentary,william brown john hernandez,laura scott,5.79,age,89.57,Asian,lost   stars _Asian
golden horizon,13-05-1982,documentary,emma martinez sophia jones,michael carter,5.89,lgbtq,34.94,american,golden horizon _american
final hour,17-02-1982,documentary,john martinez noah garcia,laura scott,8.22,race,328.8,Asian,final hour _Asian
forgotten voyage,27-08-1984,fantasy,john johnson william martinez,emily adams,9.12,disability,92.55,european,forgotten voyage _european
legends   fallen,10-08-1988,action,isabella davis noah martinez,daniel ford,5.97,race,49.39,european,legends   fallen _european
final hour,24-09-2013,scifi,william garcia john garcia,catherine hayes,6.37,gender,325.23,Asian,final hour _Asian
echoes  eternity,24-06-1997,documentary,noah garcia william martinez,daniel ford,9.9,lgbtq,321.31,european,echoes  eternity _european
golden horizon,24-05-1997,action,john brown james smith,daniel ford,8.13,disability,308.42,european,golden horizon _european
forgotten voyage,03-10-2007,fantasy,isabella smith liam martinez,michael carter,6.77,age,337.84,american,forgotten voyage _american
lost   stars,03-01-2001,action,john davis john johnson,steven miller,7,age,271.55,american,lost   stars _american
whispers   wind,13-12-1985,documentary,william miller olivia miller,emily adams,8.97,disability,282.35,european,whispers   wind _european
forgotten voyage,26-07-1999,drama,sophia brown liam davis,daniel ford,5.97,gender,347.72,european,forgotten voyage _european
breaking chains,02-06-2019,thriller,mia williams olivia davis,laura scott,6,race,19.61,Asian,breaking chains _Asian
legends   fallen,01-12-1995,drama,liam williams isabella garcia,catherine hayes,9.81,cultural,262.19,Asian,legends   fallen _Asian
echoes  eternity,03-10-1982,thriller,sophia miller john martinez,daniel ford,7.16,age,463.07,european,echoes  eternity _european
lost   stars,27-10-1988,thriller,sophia miller sophia brown,catherine hayes,7.46,disability,113.02,Asian,lost   stars _Asian
final hour,09-09-1980,documentary,william martinez olivia williams,catherine hayes,9.13,lgbtq,23.5,Asian,final hour _Asian
forgotten voyage,28-03-1988,scifi,noah smith liam johnson,daniel ford,7.5,lgbtq,23.91,european,forgotten voyage _european
echoes  eternity,08-08-2007,action,noah smith liam davis,michael carter,6.85,race,443.04,american,echoes  eternity _american
breaking chains,02-02-1992,thriller,mia garcia james hernandez,michael carter,6.35,race,17.21,american,breaking chains _american
breaking chains,26-03-1983,action,olivia brown william brown,steven miller,7.15,lgbtq,184.97,american,breaking chains _american
breaking chains,16-08-1994,comedy,noah johnson mia johnson,laura scott,7.94,cultural,169.16,Asian,breaking chains _Asian
secrets   valley,02-08-1987,drama,mia martinez james williams,steven miller,6.82,lgbtq,224.49,american,secrets   valley _american
lost   stars,24-06-1991,comedy,sophia williams mia hernandez,daniel ford,8.94,lgbtq,186.22,european,lost   stars _european
legends   fallen,01-08-2004,scifi,liam brown mia jones,laura scott,8.26,disability,26.82,Asian,legends   fallen _Asian
shadows rising,20-02-2003,documentary,mia martinez noah martinez,daniel ford,8.01,age,398.44,european,shadows rising _european
lost   stars,18-04-1997,scifi,emma davis william hernandez,steven miller,9.88,lgbtq,211.11,american,lost   stars _american
secrets   valley,12-07-1988,documentary,isabella johnson emma miller,catherine hayes,5.28,age,483.43,Asian,secrets   valley _Asian
shadows rising,01-06-2008,scifi,william williams noah johnson,emily adams,7.08,disability,368.55,european,shadows rising _european
golden horizon,21-03-1995,action,james williams emma davis,emily adams,8.66,cultural,183.28,european,golden horizon _european
golden horizon,17-05-1983,comedy,sophia smith emma martinez,catherine hayes,6.97,age,288.37,Asian,golden horizon _Asian
forgotten voyage,02-09-1999,thriller,mia martinez william jones,emily adams,5.37,cultural,255.02,european,forgotten voyage _european
breaking chains,01-04-1981,fantasy,liam williams isabella davis,michael carter,9.47,lgbtq,182.66,american,breaking chains _american
final hour,02-10-2012,thriller,emma garcia liam martinez,daniel ford,9.61,disability,88.19,european,final hour _european
secrets   valley,08-03-2020,scifi,emma hernandez mia martinez,emily adams,6.83,age,344.6,european,secrets   valley _european
shadows rising,12-06-1983,drama,noah brown emma garcia,michael carter,6.87,disability,119.37,american,shadows rising _american
forgotten voyage,08-08-2005,documentary,noah hernandez william brown,emily adams,5.5,race,302.36,european,forgotten voyage _european
lost   stars,03-02-1997,scifi,john williams sophia williams,michael carter,5.07,cultural,47.44,american,lost   stars _american
final hour,17-05-2016,drama,john hernandez olivia davis,emily adams,7.08,race,31.26,european,final hour _european
forgotten voyage,10-08-1996,comedy,liam brown olivia williams,emily adams,6.83,lgbtq,93.23,european,forgotten voyage _european
echoes  eternity,14-10-1991,fantasy,isabella hernandez james jones,daniel ford,6.16,age,40.36,european,echoes  eternity _european
whispers   wind,04-04-1997,documentary,olivia martinez john hernandez,emily adams,9.32,lgbtq,158.63,european,whispers   wind _european
whispers   wind,17-09-1987,drama,william hernandez noah hernandez,laura scott,5.66,disability,375.81,Asian,whispers   wind _Asian
whispers   wind,07-03-1998,thriller,isabella hernandez emma miller,emily adams,5.1,cultural,290.47,european,whispers   wind _european
shadows rising,07-06-2005,fantasy,emma garcia noah williams,michael carter,9.91,gender,178.33,american,shadows rising _american
lost   stars,13-07-2009,action,sophia jones olivia williams,michael carter,8.79,age,196.74,american,lost   stars _american
secrets   valley,02-07-2004,action,william smith william smith,daniel ford,9.48,lgbtq,244.18,european,secrets   valley _european
lost   stars,11-06-1991,scifi,sophia williams william hernandez,michael carter,8.98,race,290.58,american,lost   stars _american
breaking chains,02-06-2012,drama,noah jones noah hernandez,laura scott,9.13,lgbtq,41.24,Asian,breaking chains _Asian
echoes  eternity,11-07-2009,documentary,liam brown noah jones,laura scott,7.29,race,474.21,Asian,echoes  eternity _Asian
secrets   valley,22-04-1999,drama,noah miller william garcia,catherine hayes,8.42,disability,37.1,Asian,secrets   valley _Asian
final hour,04-06-1990,fantasy,noah smith liam johnson,steven miller,9.24,disability,280.07,american,final hour _american
whispers   wind,27-11-1997,thriller,olivia jones liam jones,catherine hayes,5.1,gender,316.41,Asian,whispers   wind _Asian
lost   stars,25-07-2019,fantasy,emma williams william brown,laura scott,7.46,disability,333.39,Asian,lost   stars _Asian
shadows rising,14-08-1982,comedy,james jones john jones,emily adams,6.18,lgbtq,326.04,european,shadows rising _european
breaking chains,24-10-2019,scifi,olivia miller liam williams,michael carter,5.66,disability,18.63,american,breaking chains _american
forgotten voyage,19-03-2001,documentary,mia davis james jones,michael carter,9.3,age,23.95,american,forgotten voyage _american
shadows rising,06-07-1998,documentary,isabella brown james martinez,michael carter,5.46,cultural,454.06,american,shadows rising _american
legends   fallen,06-03-1985,drama,mia williams noah smith,daniel ford,9.28,race,371.49,european,legends   fallen _european
secrets   valley,17-12-2008,fantasy,emma jones john williams,michael carter,6.59,cultural,458.27,american,secrets   valley _american
shadows rising,12-12-2014,action,sophia davis sophia hernandez,michael carter,6.83,lgbtq,349.67,american,shadows rising _american
breaking chains,21-04-2012,scifi,emma garcia isabella johnson,daniel ford,7.33,cultural,311.85,european,breaking chains _european
final hour,23-11-2000,documentary,olivia brown mia garcia,michael carter,6.93,cultural,121.1,american,final hour _american
final hour,15-08-2002,fantasy,john smith james jones,daniel ford,5.25,age,151.14,european,final hour _european
golden horizon,17-01-1990,documentary,noah hernandez william davis,steven miller,9.04,disability,158.8,american,golden horizon _american
breaking chains,12-11-1981,action,isabella miller noah martinez,daniel ford,8.79,lgbtq,406.8,european,breaking chains _european
whispers   wind,20-10-2021,drama,isabella miller liam garcia,daniel ford,5.34,age,354.47,european,whispers   wind _european
lost   stars,04-11-2010,fantasy,john brown james jones,steven miller,9.75,race,433.76,american,lost   stars _american
shadows rising,17-01-2010,thriller,william hernandez liam miller,michael carter,6.7,age,444.18,american,shadows rising _american
secrets   valley,06-04-2018,drama,john martinez mia hernandez,michael carter,6,cultural,386.7,american,secrets   valley _american
